codadesao;cod_ata;cod_uasg;procsei;dataregistro;datasolic;encaminhaoficio;recebrespfornec;enviorespcentral;status
75;90;9773;05110.003979/2018-81;2019/07/18 15:18:29.000000000;2018/09/21 00:00:00.000;2018/10/17 00:00:00.000;2018/10/25 00:00:00.000;2018/10/31 00:00:00.000;1                                                                                                                                                                                                                                                              
76;90;19922;05110.004001/2018-37;2019/07/18 15:18:29.000000000;2018/09/21 00:00:00.000;2018/10/16 00:00:00.000;2018/11/05 00:00:00.000;2018/11/08 00:00:00.000;1                                                                                                                                                                                                                                                              
77;90;10978;05110.004002/2018-81;2019/07/18 15:18:29.000000000;2018/09/24 00:00:00.000;2018/09/25 00:00:00.000;2018/10/05 00:00:00.000;2018/10/05 00:00:00.000;0                                                                                                                                                                                                                                                              
78;90;5250;05110.004003/2018-26;2019/07/18 15:18:29.000000000;2018/09/25 00:00:00.000;2018/09/25 00:00:00.000;2018/10/05 00:00:00.000;;0                                                                                                                                                                                                                                                              
79;90;6359;05110.004014/2018-14;2019/07/18 15:18:29.000000000;2018/10/16 00:00:00.000;2018/10/16 00:00:00.000;2018/10/22 00:00:00.000;2018/10/24 00:00:00.000;1                                                                                                                                                                                                                                                              
80;90;21457;05110.004016/2018-03;2019/07/18 15:18:29.000000000;2018/09/26 00:00:00.000;2018/09/26 00:00:00.000;2018/10/17 00:00:00.000;2018/10/18 00:00:00.000;1                                                                                                                                                                                                                                                              
81;90;3882;05110.004593/2018-97;2019/07/18 15:18:29.000000000;2018/11/09 00:00:00.000;2018/11/14 00:00:00.000;2018/12/12 00:00:00.000;2018/12/13 00:00:00.000;1                                                                                                                                                                                                                                                              
82;90;1858;05110.004046/2018-10;2019/07/18 15:18:29.000000000;2018/09/27 00:00:00.000;2018/09/27 00:00:00.000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;0                                                                                                                                                                                                                                                              
83;90;6287;05110.004048/2018-09;2019/07/18 15:18:29.000000000;2018/09/27 00:00:00.000;2018/09/27 00:00:00.000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;1                                                                                                                                                                                                                                                              
84;90;12652;05110.004067/2018-27;2019/07/18 15:18:29.000000000;2018/09/27 00:00:00.000;2018/09/28 00:00:00.000;2018/10/17 00:00:00.000;;0                                                                                                                                                                                                                                                              
85;90;6348;05110.004068/2018-71;2019/07/18 15:18:29.000000000;2018/09/28 00:00:00.000;2018/09/28 00:00:00.000;2018/10/29 00:00:00.000;2018/10/31 00:00:00.000;1                                                                                                                                                                                                                                                              
86;90;9866;05110.004088/2018-42;2019/07/18 15:18:29.000000000;2018/10/01 00:00:00.000;2018/10/02 00:00:00.000;;;0                                                                                                                                                                                                                                                              
87;90;26654;05110.004091/2018-66;2019/07/18 15:18:29.000000000;2018/10/01 00:00:00.000;2018/10/09 00:00:00.000;2018/10/18 00:00:00.000;2018/10/19 00:00:00.000;1                                                                                                                                                                                                                                                              
88;90;11358;05110.004092/2018-19;2019/07/18 15:18:29.000000000;2018/10/01 00:00:00.000;2018/10/02 00:00:00.000;;;1                                                                                                                                                                                                                                                              
89;90;7548;05110.004138/2018-91;2019/07/18 15:18:29.000000000;2018/11/28 00:00:00.000;2018/10/18 00:00:00.000;2018/12/07 00:00:00.000;2018/12/17 00:00:00.000;1                                                                                                                                                                                                                                                              
90;90;9806;05110.004140/2018-61;2019/07/18 15:18:29.000000000;2018/10/23 00:00:00.000;2018/11/01 00:00:00.000;2018/11/13 00:00:00.000;2018/11/14 00:00:00.000;1                                                                                                                                                                                                                                                              
91;90;6123;05110.004141/2018-13;2019/07/18 15:18:29.000000000;2018/10/06 00:00:00.000;2018/11/30 00:00:00.000;2018/12/18 00:00:00.000;2018/12/19 00:00:00.000;1                                                                                                                                                                                                                                                              
92;90;5166;05110.004142/2018-50;2019/07/18 15:18:29.000000000;2018/10/03 00:00:00.000;2018/10/05 00:00:00.000;2018/10/29 00:00:00.000;2018/11/06 00:00:00.000;1                                                                                                                                                                                                                                                              
93;90;11363;05110.004152/2018-95;2019/07/18 15:18:29.000000000;2018/10/05 00:00:00.000;2018/10/05 00:00:00.000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;1                                                                                                                                                                                                                                                              
94;90;5219;05110.004155/2018-29;2019/07/18 15:18:29.000000000;2018/10/05 00:00:00.000;2018/10/05 00:00:00.000;2018/10/17 00:00:00.000;;0                                                                                                                                                                                                                                                              
95;90;20667;05110.004171/2018-11;2019/07/18 15:18:29.000000000;2018/10/08 00:00:00.000;2018/10/08 00:00:00.000;2018/10/29 00:00:00.000;2018/11/14 00:00:00.000;1                                                                                                                                                                                                                                                              
96;90;9775;05110.004186/2018-80;2019/07/18 15:18:29.000000000;2018/10/08 00:00:00.000;2018/10/09 00:00:00.000;2018/10/19 00:00:00.000;2018/10/23 00:00:00.000;1                                                                                                                                                                                                                                                              
97;91;1639;21000.028018/2018-83;2019/07/18 15:18:29.000000000;2018/10/31 00:00:00.000;2018/11/01 00:00:00.000;2018/11/30 00:00:00.000;2018/11/30 00:00:00.000;1                                                                                                                                                                                                                                                              
98;91;7905;05110.004216/2018-58;2019/07/18 15:18:29.000000000;2018/10/09 00:00:00.000;2018/10/11 00:00:00.000;2018/10/22 00:00:00.000;2018/10/25 00:00:00.000;1                                                                                                                                                                                                                                                              
99;90;6259;05110.004217/2018-01;2019/07/18 15:18:29.000000000;2018/11/19 00:00:00.000;2018/10/11 00:00:00.000;2018/12/05 00:00:00.000;2018/12/05 00:00:00.000;1                                                                                                                                                                                                                                                              
100;90;9858;05110.004222/2018-13;2019/07/18 15:18:29.000000000;2018/10/10 00:00:00.000;2018/10/11 00:00:00.000;2018/11/13 00:00:00.000;2018/11/23 00:00:00.000;1                                                                                                                                                                                                                                                              
101;90;10643;05110.004223/2018-50;2019/07/18 15:18:29.000000000;2018/10/10 00:00:00.000;2018/10/11 00:00:00.000;;;0                                                                                                                                                                                                                                                              
102;90;984;05110.004230/2018-51;2019/07/18 15:18:29.000000000;2018/10/11 00:00:00.000;2018/10/15 00:00:00.000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;1                                                                                                                                                                                                                                                              
103;91;11758;05110.004245/2018-10;2019/07/18 15:18:29.000000000;2018/10/11 00:00:00.000;2018/10/15 00:00:00.000;2019/02/14 00:00:00.000;2019/03/22 00:00:00.000;0                                                                                                                                                                                                                                                              
104;90;1723;05110.004276/2018-71;2019/07/18 15:18:29.000000000;2018/10/16 00:00:00.000;2018/10/17 00:00:00.000;2018/11/13 00:00:00.000;2018/11/26 00:00:00.000;1                                                                                                                                                                                                                                                              
105;90;10740;05110.004273/2018-37;2019/07/18 15:18:29.000000000;2018/10/16 00:00:00.000;2018/10/17 00:00:00.000;2018/12/07 00:00:00.000;2018/12/10 00:00:00.000;1                                                                                                                                                                                                                                                              
106;90;4766;05110.004278/2018-60;2019/07/18 15:18:29.000000000;2018/10/16 00:00:00.000;2018/10/17 00:00:00.000;2018/10/22 00:00:00.000;2018/10/25 00:00:00.000;1                                                                                                                                                                                                                                                              
107;90;4759;05110.004284/2018-17;2019/07/18 15:18:29.000000000;2018/10/29 00:00:00.000;2018/11/05 00:00:00.000;2018/11/13 00:00:00.000;2018/11/14 00:00:00.000;1                                                                                                                                                                                                                                                              
108;90;7478;05110.004288/2018-03;2019/07/18 15:18:29.000000000;2018/10/17 00:00:00.000;2018/10/17 00:00:00.000;2018/10/29 00:00:00.000;2018/10/31 00:00:00.000;1                                                                                                                                                                                                                                                              
109;90;9866;05110.004292/2018-63;2019/07/18 15:18:29.000000000;2018/10/17 00:00:00.000;2018/10/18 00:00:00.000;;2019/12/12 00:00:00.000;1                                                                                                                                                                                                                                                              
